,magnitude
1970-01-05 10:50:00,10
1970-01-05 10:51:00,14
1970-01-05 10:52:00,15
1970-01-05 10:53:00,9
1970-01-05 10:54:00,17
1970-01-05 10:55:00,13
1970-01-05 10:56:00,12
1970-01-05 10:57:00,13
1970-01-05 10:58:00,17
1970-01-05 10:59:00,13
1970-01-05 11:00:00,22
1970-01-05 11:01:00,16
1970-01-05 11:02:00,15
1970-01-05 11:03:00,13
1970-01-05 11:04:00,15
1970-01-05 11:05:00,23
1970-01-05 11:06:00,13
1970-01-05 11:07:00,12
1970-01-05 11:08:00,11
1970-01-05 11:09:00,16
1970-01-05 11:10:00,15
1970-01-05 11:11:00,17
1970-01-05 11:12:00,20
1970-01-05 11:13:00,19
1970-01-05 11:14:00,17
1970-01-05 11:15:00,16
1970-01-05 11:16:00,13
1970-01-05 11:17:00,16
1970-01-05 11:18:00,16
1970-01-05 11:19:00,20
1970-01-05 11:20:00,23
1970-01-05 11:21:00,12
1970-01-05 11:22:00,19
1970-01-05 11:23:00,15
1970-01-05 11:24:00,16
1970-01-05 11:25:00,13
1970-01-05 11:26:00,7
1970-01-05 11:27:00,10
1970-01-05 11:28:00,15
1970-01-05 11:29:00,20
1970-01-05 11:30:00,25
1970-01-05 11:31:00,13
1970-01-05 11:32:00,16
1970-01-05 11:33:00,15
1970-01-05 11:34:00,18
1970-01-05 11:35:00,19
1970-01-05 11:36:00,18
1970-01-05 11:37:00,21
1970-01-05 11:38:00,14
1970-01-05 11:39:00,16
1970-01-05 11:40:00,22
1970-01-05 11:41:00,13
1970-01-05 11:42:00,12
1970-01-05 11:43:00,15
1970-01-05 11:44:00,18
1970-01-05 11:45:00,10
1970-01-05 11:46:00,14
1970-01-05 11:47:00,18
1970-01-05 11:48:00,17
1970-01-05 11:49:00,16
1970-01-05 11:50:00,16
1970-01-05 11:51:00,14
1970-01-05 11:52:00,18
1970-01-05 11:53:00,19
1970-01-05 11:54:00,22
1970-01-05 11:55:00,20
1970-01-05 11:56:00,21
1970-01-05 11:57:00,29
1970-01-05 11:58:00,16
1970-01-05 11:59:00,18
1970-01-05 12:00:00,35
1970-01-05 12:01:00,34
1970-01-05 12:02:00,21
1970-01-05 12:03:00,29
1970-01-05 12:04:00,33
1970-01-05 12:05:00,33
1970-01-05 12:06:00,31
1970-01-05 12:07:00,36
1970-01-05 12:08:00,34
1970-01-05 12:09:00,35
1970-01-05 12:10:00,37
1970-01-05 12:11:00,35
1970-01-05 12:12:00,23
1970-01-05 12:13:00,38
1970-01-05 12:14:00,48
1970-01-05 12:15:00,32
1970-01-05 12:16:00,46
1970-01-05 12:17:00,40
1970-01-05 12:18:00,34
1970-01-05 12:19:00,39
1970-01-05 12:20:00,37
1970-01-05 12:21:00,45
1970-01-05 12:22:00,37
1970-01-05 12:23:00,31
1970-01-05 12:24:00,39
1970-01-05 12:25:00,48
1970-01-05 12:26:00,46
1970-01-05 12:27:00,45
1970-01-05 12:28:00,40
1970-01-05 12:29:00,46
1970-01-05 12:30:00,49
1970-01-05 12:31:00,34
1970-01-05 12:32:00,53
1970-01-05 12:33:00,47
1970-01-05 12:34:00,55
1970-01-05 12:35:00,50
1970-01-05 12:36:00,58
1970-01-05 12:37:00,51
1970-01-05 12:38:00,43
1970-01-05 12:39:00,51
1970-01-05 12:40:00,50
1970-01-05 12:41:00,53
1970-01-05 12:42:00,61
1970-01-05 12:43:00,56
1970-01-05 12:44:00,43
1970-01-05 12:45:00,51
1970-01-05 12:46:00,55
1970-01-05 12:47:00,50
1970-01-05 12:48:00,52
1970-01-05 12:49:00,60
