,magnitude
1970-01-04 08:27:00,40
1970-01-04 08:28:00,53
1970-01-04 08:29:00,49
1970-01-04 08:30:00,36
1970-01-04 08:31:00,51
1970-01-04 08:32:00,49
1970-01-04 08:33:00,36
1970-01-04 08:34:00,47
1970-01-04 08:35:00,43
1970-01-04 08:36:00,48
1970-01-04 08:37:00,46
1970-01-04 08:38:00,41
1970-01-04 08:39:00,49
1970-01-04 08:40:00,33
1970-01-04 08:41:00,39
1970-01-04 08:42:00,49
1970-01-04 08:43:00,32
1970-01-04 08:44:00,47
1970-01-04 08:45:00,36
1970-01-04 08:46:00,44
1970-01-04 08:47:00,43
1970-01-04 08:48:00,39
1970-01-04 08:49:00,33
1970-01-04 08:50:00,37
1970-01-04 08:51:00,40
1970-01-04 08:52:00,44
1970-01-04 08:53:00,40
1970-01-04 08:54:00,40
1970-01-04 08:55:00,33
1970-01-04 08:56:00,34
1970-01-04 08:57:00,35
1970-01-04 08:58:00,43
1970-01-04 08:59:00,35
1970-01-04 09:00:00,46
1970-01-04 09:01:00,37
1970-01-04 09:02:00,31
1970-01-04 09:03:00,27
1970-01-04 09:04:00,29
1970-01-04 09:05:00,33
1970-01-04 09:06:00,23
1970-01-04 09:07:00,22
1970-01-04 09:08:00,23
1970-01-04 09:09:00,23
1970-01-04 09:10:00,36
1970-01-04 09:11:00,37
1970-01-04 09:12:00,25
1970-01-04 09:13:00,28
1970-01-04 09:14:00,37
1970-01-04 09:15:00,30
1970-01-04 09:16:00,23
1970-01-04 09:17:00,31
1970-01-04 09:18:00,28
1970-01-04 09:19:00,26
1970-01-04 09:20:00,32
1970-01-04 09:21:00,20
1970-01-04 09:22:00,24
1970-01-04 09:23:00,22
1970-01-04 09:24:00,25
1970-01-04 09:25:00,26
1970-01-04 09:26:00,20
1970-01-04 09:27:00,26
1970-01-04 09:28:00,30
1970-01-04 09:29:00,20
1970-01-04 09:30:00,30
1970-01-04 09:31:00,26
1970-01-04 09:32:00,19
1970-01-04 09:33:00,21
1970-01-04 09:34:00,29
1970-01-04 09:35:00,26
1970-01-04 09:36:00,13
1970-01-04 09:37:00,40
1970-01-04 09:38:00,18
1970-01-04 09:39:00,24
1970-01-04 09:40:00,26
1970-01-04 09:41:00,16
1970-01-04 09:42:00,22
1970-01-04 09:43:00,22
1970-01-04 09:44:00,21
1970-01-04 09:45:00,19
1970-01-04 09:46:00,28
1970-01-04 09:47:00,17
1970-01-04 09:48:00,25
1970-01-04 09:49:00,23
1970-01-04 09:50:00,25
1970-01-04 09:51:00,21
1970-01-04 09:52:00,15
1970-01-04 09:53:00,22
1970-01-04 09:54:00,22
1970-01-04 09:55:00,34
1970-01-04 09:56:00,30
1970-01-04 09:57:00,19
1970-01-04 09:58:00,15
1970-01-04 09:59:00,21
1970-01-04 10:00:00,14
1970-01-04 10:01:00,10
1970-01-04 10:02:00,13
1970-01-04 10:03:00,11
1970-01-04 10:04:00,18
1970-01-04 10:05:00,13
1970-01-04 10:06:00,16
1970-01-04 10:07:00,11
1970-01-04 10:08:00,15
1970-01-04 10:09:00,8
1970-01-04 10:10:00,16
1970-01-04 10:11:00,13
1970-01-04 10:12:00,11
1970-01-04 10:13:00,14
1970-01-04 10:14:00,8
1970-01-04 10:15:00,19
1970-01-04 10:16:00,24
1970-01-04 10:17:00,10
1970-01-04 10:18:00,13
1970-01-04 10:19:00,11
1970-01-04 10:20:00,17
1970-01-04 10:21:00,10
1970-01-04 10:22:00,10
1970-01-04 10:23:00,17
1970-01-04 10:24:00,11
1970-01-04 10:25:00,15
1970-01-04 10:26:00,21
