,magnitude
1970-01-04 08:27:00,5
1970-01-04 08:28:00,11
1970-01-04 08:29:00,4
1970-01-04 08:30:00,9
1970-01-04 08:31:00,4
1970-01-04 08:32:00,10
1970-01-04 08:33:00,14
1970-01-04 08:34:00,5
1970-01-04 08:35:00,6
1970-01-04 08:36:00,8
1970-01-04 08:37:00,5
1970-01-04 08:38:00,6
1970-01-04 08:39:00,7
1970-01-04 08:40:00,4
1970-01-04 08:41:00,3
1970-01-04 08:42:00,1
1970-01-04 08:43:00,5
1970-01-04 08:44:00,9
1970-01-04 08:45:00,10
1970-01-04 08:46:00,5
1970-01-04 08:47:00,9
1970-01-04 08:48:00,3
1970-01-04 08:49:00,7
1970-01-04 08:50:00,5
1970-01-04 08:51:00,3
1970-01-04 08:52:00,6
1970-01-04 08:53:00,7
1970-01-04 08:54:00,7
1970-01-04 08:55:00,5
1970-01-04 08:56:00,3
1970-01-04 08:57:00,4
1970-01-04 08:58:00,3
1970-01-04 08:59:00,4
1970-01-04 09:00:00,6
1970-01-04 09:01:00,1
1970-01-04 09:02:00,5
1970-01-04 09:03:00,7
1970-01-04 09:04:00,6
1970-01-04 09:05:00,7
1970-01-04 09:06:00,6
1970-01-04 09:07:00,3
1970-01-04 09:08:00,4
1970-01-04 09:09:00,2
1970-01-04 09:10:00,6
1970-01-04 09:11:00,6
1970-01-04 09:12:00,2
1970-01-04 09:13:00,5
1970-01-04 09:14:00,4
1970-01-04 09:15:00,8
1970-01-04 09:16:00,8
1970-01-04 09:17:00,4
1970-01-04 09:18:00,1
1970-01-04 09:19:00,3
1970-01-04 09:20:00,3
1970-01-04 09:21:00,4
1970-01-04 09:22:00,3
1970-01-04 09:23:00,5
1970-01-04 09:24:00,3
1970-01-04 09:25:00,2
1970-01-04 09:26:00,3
1970-01-04 09:27:00,4
1970-01-04 09:28:00,3
1970-01-04 09:29:00,4
1970-01-04 09:30:00,3
1970-01-04 09:31:00,5
1970-01-04 09:32:00,2
1970-01-04 09:33:00,2
1970-01-04 09:34:00,4
1970-01-04 09:35:00,4
1970-01-04 09:36:00,0
1970-01-04 09:37:00,4
1970-01-04 09:38:00,4
1970-01-04 09:39:00,4
1970-01-04 09:40:00,7
1970-01-04 09:41:00,6
1970-01-04 09:42:00,5
1970-01-04 09:43:00,3
1970-01-04 09:44:00,2
1970-01-04 09:45:00,3
1970-01-04 09:46:00,4
1970-01-04 09:47:00,2
1970-01-04 09:48:00,3
1970-01-04 09:49:00,4
1970-01-04 09:50:00,1
1970-01-04 09:51:00,6
1970-01-04 09:52:00,5
1970-01-04 09:53:00,1
1970-01-04 09:54:00,0
1970-01-04 09:55:00,2
1970-01-04 09:56:00,2
1970-01-04 09:57:00,4
1970-01-04 09:58:00,6
1970-01-04 09:59:00,3
1970-01-04 10:00:00,4
1970-01-04 10:01:00,2
1970-01-04 10:02:00,1
1970-01-04 10:03:00,3
1970-01-04 10:04:00,3
1970-01-04 10:05:00,3
1970-01-04 10:06:00,3
1970-01-04 10:07:00,5
1970-01-04 10:08:00,3
1970-01-04 10:09:00,2
1970-01-04 10:10:00,2
1970-01-04 10:11:00,3
1970-01-04 10:12:00,4
1970-01-04 10:13:00,2
1970-01-04 10:14:00,5
1970-01-04 10:15:00,1
1970-01-04 10:16:00,3
1970-01-04 10:17:00,5
1970-01-04 10:18:00,5
1970-01-04 10:19:00,2
1970-01-04 10:20:00,1
1970-01-04 10:21:00,3
1970-01-04 10:22:00,6
1970-01-04 10:23:00,3
1970-01-04 10:24:00,2
1970-01-04 10:25:00,4
1970-01-04 10:26:00,3
